	restaurante	seccion	platos	precios	platos_lower	seccion_lower
21	Gioia Restaurante	Nuestros Postres	Semifreddo al Gianduja	8 €	semifreddo al gianduja	nuestros postres
22	Gioia Restaurante	Nuestros Postres	La Pannacotta	8 €	la pannacotta	nuestros postres
23	Gioia Restaurante	Nuestros Postres	Bunet	8 €	bunet	nuestros postres
24	Gioia Restaurante	Nuestros Postres	Il Gelato	7 €	il gelato	nuestros postres
25	Gioia Restaurante	Nuestros Postres	Il Sorbetto al Mango	7 €	il sorbetto al mango	nuestros postres
26	Gioia Restaurante	seccion_bebidas	Café	2 €	café	seccion_bebidas
27	Gioia Restaurante	seccion_bebidas	Media botella de agua	3 €	media botella de agua	seccion_bebidas
28	Gioia Restaurante	seccion_bebidas	Botella de vino	18 €	botella de vino	seccion_bebidas
29	Gioia Restaurante	seccion_bebidas	Copa de vino	4 €	copa de vino	seccion_bebidas
0	Hamburguesa Nostra	Entrantes	Nachos	7,9 €	nachos	entrantes
1	Hamburguesa Nostra	Entrantes	Alitas de pollo BBQ	7,9 €	alitas de pollo bbq	entrantes
2	Hamburguesa Nostra	Entrantes	Delicias de pollo	7,9 €	delicias de pollo	entrantes
3	Hamburguesa Nostra	Entrantes	Tequeños	8,5 €	tequeños	entrantes
4	Hamburguesa Nostra	Entrantes	Aros de cebolla	6,9 €	aros de cebolla	entrantes
5	Hamburguesa Nostra	Entrantes	Combo de entrantes	12,9 €	combo de entrantes	entrantes
6	Hamburguesa Nostra	Recetas del Chef	Inglesa (Hamburguesa grande + guarnición)	14,9 €	inglesa (hamburguesa grande + guarnición)	recetas del chef
7	Hamburguesa Nostra	Recetas del Chef	Francesa (Hamburguesa grande + guarnición)	13,9 €	francesa (hamburguesa grande + guarnición)	recetas del chef
8	Hamburguesa Nostra	Recetas del Chef	Del Chef (Hamburguesa + guarnición)	11,9 €	del chef (hamburguesa + guarnición)	recetas del chef
9	Hamburguesa Nostra	Recetas del Chef	De pueblo (Hamburguesa + guarnición)	10,9 €	de pueblo (hamburguesa + guarnición)	recetas del chef
10	Hamburguesa Nostra	Recetas del Chef	Alemana (Hamburguesa grande + guarnición)	12,9 €	alemana (hamburguesa grande + guarnición)	recetas del chef
11	Hamburguesa Nostra	Recetas del Chef	Buey (Hamburguesa + guarnición)	15,9 €	buey (hamburguesa + guarnición)	recetas del chef
12	Hamburguesa Nostra	Recetas del Chef	Mexicana (Hamburguesa grande + guarnición)	14,9 €	mexicana (hamburguesa grande + guarnición)	recetas del chef
13	Hamburguesa Nostra	Recetas del Chef	Trufa (Hamburguesa + guarnición)	12,9 €	trufa (hamburguesa + guarnición)	recetas del chef
14	Hamburguesa Nostra	Recetas del Chef	Veggie (Hamburguesa + guarnición)	10,9 €	veggie (hamburguesa + guarnición)	recetas del chef
15	Hamburguesa Nostra	Ensaladas	Ensalada Azteca	9,5 €	ensalada azteca	ensaladas
16	Hamburguesa Nostra	Ensaladas	Ensalda César	9 €	ensalda césar	ensaladas
17	Hamburguesa Nostra	Ensaladas	Ensalada Genovesa	9,5 €	ensalada genovesa	ensaladas
18	Hamburguesa Nostra	Platos	Lomo bajo	17,9 €	lomo bajo	platos
19	Hamburguesa Nostra	Platos	Pollo barbacoa	11,9 €	pollo barbacoa	platos
20	Hamburguesa Nostra	Postres	Tarta de chocolate	5,9 €	tarta de chocolate	postres
21	Hamburguesa Nostra	Postres	Tartar de queso	5,9 €	tartar de queso	postres
22	Hamburguesa Nostra	Postres	Brownie	5,9 €	brownie	postres
23	Hamburguesa Nostra	Postres	Carrot cake	5,9 €	carrot cake	postres
24	Hamburguesa Nostra	Postres	Batidos	5,9 €	batidos	postres
25	Hamburguesa Nostra	seccion_bebidas	Café	1,5 €	café	seccion_bebidas
26	Hamburguesa Nostra	seccion_bebidas	Botella de agua	1,8 €	botella de agua	seccion_bebidas
27	Hamburguesa Nostra	seccion_bebidas	Botella de vino	15 €	botella de vino	seccion_bebidas
28	Hamburguesa Nostra	seccion_bebidas	Copa de vino	3 €	copa de vino	seccion_bebidas
0	Hot Now	Para compartir	Hummus	7,5 €	hummus	para compartir
1	Hot Now	Para compartir	Guacamole	8 €	guacamole	para compartir
2	Hot Now	Para compartir	Tabulé de quinoa	8,5 €	tabulé de quinoa	para compartir
3	Hot Now	Pizzas	Mortadela trufada	9,5 €	mortadela trufada	pizzas
4	Hot Now	Pizzas	Pesto	11,5 €	pesto	pizzas
5	Hot Now	Pizzas	Burrata trufada	13,5 €	burrata trufada	pizzas
6	Hot Now	Postre	Lemonpai	5,5 €	lemonpai	postre
7	Hot Now	Postre	Chocolover	5,5 €	chocolover	postre
8	Hot Now	Postre	Pizza nutella	7 €	pizza nutella	postre
9	Hot Now	seccion_bebidas	Café	1,5 €	café	seccion_bebidas
10	Hot Now	seccion_bebidas	Media botella de agua	2 €	media botella de agua	seccion_bebidas
11	Hot Now	seccion_bebidas	Botella de vino	17 €	botella de vino	seccion_bebidas
12	Hot Now	seccion_bebidas	Copa de vino	3 €	copa de vino	seccion_bebidas
0	Izakaya Han	Entrantes	Tartar de Atún con aguacate	14,5 €	tartar de atún con aguacate	entrantes
1	Izakaya Han	Entrantes	Tartar de Salmón con aguacate	13,5 €	tartar de salmón con aguacate	entrantes
2	Izakaya Han	Entrantes	Misoshiru	4,5 €	misoshiru	entrantes
3	Izakaya Han	Entrantes	Edamame	5,5 €	edamame	entrantes
4	Izakaya Han	Entrantes	Tori Gyoza	7,5 €	tori gyoza	entrantes
5	Izakaya Han	Entrantes	Agedashi Tofu	7,5 €	agedashi tofu	entrantes
6	Izakaya Han	Entrantes	Ensalada Goma Wakame	6,5 €	ensalada goma wakame	entrantes
7	Izakaya Han	Entrantes	Tako Yaki	8 €	tako yaki	entrantes
8	Izakaya Han	Entrantes	Carpaccio de Dorada	10 €	carpaccio de dorada	entrantes
9	Izakaya Han	Comida Coreana	Kimchi	4,5 €	kimchi	comida coreana
10	Izakaya Han	Comida Coreana	Bulgogi	12,5 €	bulgogi	comida coreana
11	Izakaya Han	Comida Coreana	Tallarines de batata		tallarines de batata	comida coreana
12	Izakaya Han	Comida Coreana	Ohcingoh Bokum	13,5 €	ohcingoh bokum	comida coreana
13	Izakaya Han	Comida Coreana	Yukhoe	16 €	yukhoe	comida coreana
14	Izakaya Han	Comida Coreana	Jeyuk Bokkeum	12,5 €	jeyuk bokkeum	comida coreana
15	Izakaya Han	Comida Coreana	Dolsot Bibimbap	12,5 €	dolsot bibimbap	comida coreana
16	Izakaya Han	Comida Coreana	Hoedeopbap	12,5 €	hoedeopbap	comida coreana
17	Izakaya Han	Comida Coreana	Kimchi Jjigae	12,5 €	kimchi jjigae	comida coreana
18	Izakaya Han	Comida Coreana	Dakgangjeong	12 €	dakgangjeong	comida coreana
19	Izakaya Han	Comida Coreana	Tofu Kimchi	12 €	tofu kimchi	comida coreana
20	Izakaya Han	Comida Coreana	Kimchi Bokeumbap	12 €	kimchi bokeumbap	comida coreana
21	Izakaya Han	Comida Coreana	Haemul jeon	12 €	haemul jeon	comida coreana
22	Izakaya Han	Tallarines	Udon	12,5 €	udon	tallarines
23	Izakaya Han	Tallarines	Kakiage Udon	13,5 €	kakiage udon	tallarines
24	Izakaya Han	Tallarines	Yaki Soba	13,5 €	yaki soba	tallarines
25	Izakaya Han	Tallarines	Yaki Soba con verdura	12 €	yaki soba con verdura	tallarines
26	Izakaya Han	Tallarines	Yaki Soba con ternera	13,5 €	yaki soba con ternera	tallarines
27	Izakaya Han	Postres	Helado casero de té verde	3,5 €	helado casero de té verde	postres
28	Izakaya Han	Postres	Helado casero de judía roja	4 €	helado casero de judía roja	postres
29	Izakaya Han	Postres	Helado de sésamo negro	4,5 €	helado de sésamo negro	postres
30	Izakaya Han	Postres	Sorbete de Yuzu o con cava	6 €	sorbete de yuzu o con cava	postres
31	Izakaya Han	Sushi Nigiri	Maguro	6 €	maguro	sushi nigiri
32	Izakaya Han	Sushi Nigiri	Toro	9,5 €	toro	sushi nigiri
33	Izakaya Han	Sushi Nigiri	Maki Sushi Set	13,5 €	maki sushi set	sushi nigiri
34	Izakaya Han	Sushi Nigiri	Sushi variado	15,5 €	sushi variado	sushi nigiri
35	Izakaya Han	Sushi Nigiri	Sushi especialidad del chef	22 €	sushi especialidad del chef	sushi nigiri
36	Izakaya Han	Sushi Nigiri	Sake	5 €	sake	sushi nigiri
37	Izakaya Han	Sushi Nigiri	Hamachi	6 €	hamachi	sushi nigiri
38	Izakaya Han	Sushi Nigiri	Pez mantequilla	5 €	pez mantequilla	sushi nigiri
39	Izakaya Han	Sushi Nigiri	Kaibasira	6 €	kaibasira	sushi nigiri
40	Izakaya Han	Sushi Nigiri	Unagi	6,5 €	unagi	sushi nigiri
41	Izakaya Han	Sushi Nigiri	Langostino / Shrimp		langostino / shrimp	sushi nigiri
42	Izakaya Han	Sushi Nigiri	Gunkan Ikura	6,5 €	gunkan ikura	sushi nigiri
43	Izakaya Han	Sushi Nigiri	Gunkan Negi Toro	7 €	gunkan negi toro	sushi nigiri
44	Izakaya Han	Nori Makis	Kappa Maki	5 €	kappa maki	nori makis
45	Izakaya Han	Nori Makis	Unagi Maki	7,5 €	unagi maki	nori makis
46	Izakaya Han	Nori Makis	Teka Maki	8 €	teka maki	nori makis
47	Izakaya Han	Nori Makis	Sake Hoso Maki	7 €	sake hoso maki	nori makis
48	Izakaya Han	Nori Makis	Negitoro	10,5 €	negitoro	nori makis
49	Izakaya Han	Temakis	Atún con aguacate	7,5 €	atún con aguacate	temakis
50	Izakaya Han	Temakis	Salmón con huevas	6,5 €	salmón con huevas	temakis
51	Izakaya Han	Temakis	Anguila con pepino	7,5 €	anguila con pepino	temakis
52	Izakaya Han	Uramakis	California Rolls	12 €	california rolls	uramakis
53	Izakaya Han	Uramakis	Spicy Atún Roll	14 €	spicy atún roll	uramakis
54	Izakaya Han	Uramakis	Alaska Roll	13 €	alaska roll	uramakis
55	Izakaya Han	Uramakis	Philadelphia Roll	13,5 €	philadelphia roll	uramakis
56	Izakaya Han	Uramakis	Ebi fry	13,5 €	ebi fry	uramakis
57	Izakaya Han	Uramakis	Salmón Flambeado Roll	14 €	salmón flambeado roll	uramakis
58	Izakaya Han	Uramakis	Dragon Roll Flambeado	14,5 €	dragon roll flambeado	uramakis
59	Izakaya Han	Sashimi	Maguro	13,5 €	maguro	sashimi
60	Izakaya Han	Sashimi	Sake	12 €	sake	sashimi
61	Izakaya Han	Sashimi	Maguro y Sake	13,5 €	maguro y sake	sashimi
62	Izakaya Han	Sashimi	Pez mantequilla	12 €	pez mantequilla	sashimi
63	Izakaya Han	Sashimi	Sashimi variado	16,5 €	sashimi variado	sashimi
64	Izakaya Han	Sashimi	Sashimi especial del Chef	28 €	sashimi especial del chef	sashimi
65	Izakaya Han	Tempuras	Langostino	13 €	langostino	tempuras
66	Izakaya Han	Tempuras	Verduras	12,5 €	verduras	tempuras
67	Izakaya Han	Tempuras	Tempura mixta	14,5 €	tempura mixta	tempuras
68	Izakaya Han	Grill	Brocheta de langostino	7 €	brocheta de langostino	grill
69	Izakaya Han	Grill	Brocheta de Vieira	8,5 €	brocheta de vieira	grill
70	Izakaya Han	Grill	Yaki Tori	6 €	yaki tori	grill
71	Izakaya Han	Arroces	Arroz blanco	3,5 €	arroz blanco	arroces
72	Izakaya Han	Arroces	Sake Don	13 €	sake don	arroces
73	Izakaya Han	Arroces	Unagi Don	14 €	unagi don	arroces
74	Izakaya Han	seccion_bebidas	Café	2 €	café	seccion_bebidas
75	Izakaya Han	seccion_bebidas	Media botella de agua	2 €	media botella de agua	seccion_bebidas
76	Izakaya Han	seccion_bebidas	Botella de vino	13,5 €	botella de vino	seccion_bebidas
77	Izakaya Han	seccion_bebidas	Copa de vino	3 €	copa de vino	seccion_bebidas
0	Kuoco 360	Uno x Uno	Wonton crujiente	2,5 €	wonton crujiente	uno x uno
1	Kuoco 360	Uno x Uno	OSTRA gillardeau	4,5 €	ostra gillardeau	uno x uno
2	Kuoco 360	Uno x Uno	Dumpling (3 unds)	9 €	dumpling (3 unds)	uno x uno
3	Kuoco 360	Uno x Uno	Croquetas Pekin	2,5 €	croquetas pekin	uno x uno
4	Kuoco 360	Uno x Uno	Causa Croquette	2,5 €	causa croquette	uno x uno
5	Kuoco 360	Entrantes	7 potencias Asia / Caribe 2.0	17 €	7 potencias asia / caribe 2.0	entrantes
6	Kuoco 360	Entrantes	Hamburguesa panceta ibérica laqueada	10 €	hamburguesa panceta ibérica laqueada	entrantes
7	Kuoco 360	Entrantes	Ceviche	18 €	ceviche	entrantes
8	Kuoco 360	Entrantes	Tartar vieira	18 €	tartar vieira	entrantes
9	Kuoco 360	Entrantes	Steak tartar	18 €	steak tartar	entrantes
10	Kuoco 360	Entrantes	Pulpo Tikka	19 €	pulpo tikka	entrantes
11	Kuoco 360	Entrantes	Burrathai	16 €	burrathai	entrantes
12	Kuoco 360	Platos	Corvina salvaje	21 €	corvina salvaje	platos
13	Kuoco 360	Platos	Carrillera vaca melosa	20 €	carrillera vaca melosa	platos
14	Kuoco 360	Platos	Presa ibérica	20 €	presa ibérica	platos
15	Kuoco 360	Platos	Mejillones thai	14 €	mejillones thai	platos
16	Kuoco 360	Platos	Pato barbarie al wok	19 €	pato barbarie al wok	platos
17	Kuoco 360	Postres	Mango Thai	8 €	mango thai	postres
18	Kuoco 360	Postres	Plátano brûlée	8 €	plátano brûlée	postres
19	Kuoco 360	Postres	Fondant	9 €	fondant	postres
20	Kuoco 360	Aperitivo	Pan de masa madre y aperitivo	2,5 €	pan de masa madre y aperitivo	aperitivo
21	Kuoco 360	seccion_bebidas	Café	1,9 €	café	seccion_bebidas
22	Kuoco 360	seccion_bebidas	Media botella de agua	2 €	media botella de agua	seccion_bebidas
23	Kuoco 360	seccion_bebidas	Botella de vino	16 €	botella de vino	seccion_bebidas
24	Kuoco 360	seccion_bebidas	Copa de vino	3 €	copa de vino	seccion_bebidas
0	La Carmencita	Entrante	Rabas de Santander crujientes	14,5 €	rabas de santander crujientes	entrante
1	La Carmencita	Entrante	Croquetas de jamón del bueno o de marisquete	12,5 €	croquetas de jamón del bueno o de marisquete	entrante
2	La Carmencita	Entrante	Anchoas de Laredo de Codesa en aceite de oliva	11 €	anchoas de laredo de codesa en aceite de oliva	entrante
3	La Carmencita	Plato	Huevos fritos con paletilla, o con chorizo “eco” de la Sierra de Guadarrama, o con morcilla de Burgos.	12,5 €	huevos fritos con paletilla, o con chorizo “eco” de la sierra de guadarrama, o con morcilla de burgos.	plato
4	La Carmencita	Plato	Arroz marinero, seco o caldoso, con arroz de Calasparra, taquitos de calamar, rape, mejillones y almejas	16,5 €	arroz marinero, seco o caldoso, con arroz de calasparra, taquitos de calamar, rape, mejillones y almejas	plato
5	La Carmencita	Plato	Merluza del cantábrico con patata panadera crujiente al estilo de Santander	18 €	merluza del cantábrico con patata panadera crujiente al estilo de santander	plato
6	La Carmencita	Postre	Arroz con leche con vainilla y toffee salado	6,25 €	arroz con leche con vainilla y toffee salado	postre
7	La Carmencita	Postre	Tarta de queso ecológico con base de galleta	6,25 €	tarta de queso ecológico con base de galleta	postre
8	La Carmencita	Postre	Tarta de galletas con chocolate	6,5 €	tarta de galletas con chocolate	postre
9	La Carmencita	seccion_bebidas	Botella de vino	15,5 €	botella de vino	seccion_bebidas
0	La Trastienda	Mesas	Nuestras mesas son altas y compartidas con más clientes		nuestras mesas son altas y compartidas con más clientes	mesas
1	La Trastienda	Servicio	Servicio de pan y cubiertos	1,5 €	servicio de pan y cubiertos	servicio
2	La Trastienda	Trastapeando Huertas	Tomate de huerto ecológico y ventresca de Barbate	12,5 €	tomate de huerto ecológico y ventresca de barbate	trastapeando huertas
3	La Trastienda	Trastapeando Huertas	Pimientos de Padrón	9,5 €	pimientos de padrón	trastapeando huertas
4	La Trastienda	Trastapeando Huertas	Alcachofa en flor a la parilla	13,5 €	alcachofa en flor a la parilla	trastapeando huertas
5	La Trastienda	Trastapeando Mar	"Mejillones trigre ""Jo puta"""	3,95 €	"mejillones trigre ""jo puta"""	trastapeando mar
6	La Trastienda	Trastapeando Mar	Arroz meloso de Bogavante (precio por persona)	25 €	arroz meloso de bogavante (precio por persona)	trastapeando mar
7	La Trastienda	Trastapeando Mar	Las ostras francesas del Fish Corner (unidad)	3,5 €	las ostras francesas del fish corner (unidad)	trastapeando mar
8	La Trastienda	Trastapeando Mar	Trilogía de atún rojo de almadraba (Fish Corner)	30 €	trilogía de atún rojo de almadraba (fish corner)	trastapeando mar
9	La Trastienda	Trastapeando Granja	Tiras de pollo de corral con mostaza y miel	9,9 €	tiras de pollo de corral con mostaza y miel	trastapeando granja
10	La Trastienda	Trastapeando Granja	Huevos estrellados con patatas y jamón ibérico	12,5 €	huevos estrellados con patatas y jamón ibérico	trastapeando granja
11	La Trastienda	Trastapeando Granja	Steak tartar a cuchillo	15,9 €	steak tartar a cuchillo	trastapeando granja
12	La Trastienda	Trastapeando Granja	Chuleta de vaca selección madurada	45 €	chuleta de vaca selección madurada	trastapeando granja
13	La Trastienda	Excepcional	Lomo de anchoa 00 del Cantábrico con pan con tomate (ud)	3,5 €	lomo de anchoa 00 del cantábrico con pan con tomate (ud)	excepcional
14	La Trastienda	Excepcional	Sardina ahumada en aceite de arbequita con pan con tomate	3 €	sardina ahumada en aceite de arbequita con pan con tomate	excepcional
15	La Trastienda	Excepcional	Matrimonio: anchoa 00, boquerones/ pan con tomate (ud)	3,9 €	matrimonio: anchoa 00, boquerones/ pan con tomate (ud)	excepcional
16	La Trastienda	Excepcional	Raciónde boquerones en vinagre con patatas chips	9,5 €	raciónde boquerones en vinagre con patatas chips	excepcional
17	La Trastienda	Excepcional	Jamon ibérico Octavio, DO Guijuelo	15,5 €	jamon ibérico octavio, do guijuelo	excepcional
18	La Trastienda	Excepcional	Tabla de embutidos ibéricos, DO Guijuelo	11,9 €	tabla de embutidos ibéricos, do guijuelo	excepcional
19	La Trastienda	Excepcional	Tabla de quesos de temporada con sus cositas	14,9 €	tabla de quesos de temporada con sus cositas	excepcional
20	La Trastienda	Excepcional	Tablón de ibéricos y quesos de temporada	29,9 €	tablón de ibéricos y quesos de temporada	excepcional
21	La Trastienda	Fish Corner	Boquerones Fritos	12 €	boquerones fritos	fish corner
22	La Trastienda	Fish Corner	Calamar frito de potera	12 €	calamar frito de potera	fish corner
23	La Trastienda	Fish Corner	Pulpo a la gallega	18,9 €	pulpo a la gallega	fish corner
24	La Trastienda	Fish Corner	Marisco Parrilla	20 €	marisco parrilla	fish corner
25	La Trastienda	Fish Corner	Trilogía de gambas	35 €	trilogía de gambas	fish corner
26	La Trastienda	Fish Corner	Paella Señorito (por persona)	11,9 €	paella señorito (por persona)	fish corner
27	La Trastienda	Fish Corner	Paella Bogavante (por persona)	25 €	paella bogavante (por persona)	fish corner
28	La Trastienda	Fish Corner	Paella Mixta (por persona)	12,9 €	paella mixta (por persona)	fish corner
29	La Trastienda	Fish Corner	Paella Negro (por persona)	11,9 €	paella negro (por persona)	fish corner
30	La Trastienda	Fish Corner	Paella Canabinero (por persona)	22 €	paella canabinero (por persona)	fish corner
31	La Trastienda	Fish Corner	Cazón en adobo	10 €	cazón en adobo	fish corner
32	La Trastienda	Fish Corner	Variado de fritura	18,9 €	variado de fritura	fish corner
33	La Trastienda	Fish Corner	Berberechos al vapor	16 €	berberechos al vapor	fish corner
34	La Trastienda	Fish Corner	Navajas a la plancha	16 €	navajas a la plancha	fish corner
35	La Trastienda	Fish Corner	Coquinas	15 €	coquinas	fish corner
36	La Trastienda	Fish Corner	Bogavante estrellado a la parrilla	39 €	bogavante estrellado a la parrilla	fish corner
37	La Trastienda	Fish Corner	Carabinero a la plancha	15 €	carabinero a la plancha	fish corner
38	La Trastienda	Fish Corner	Cigala a la plancha 00	19 €	cigala a la plancha 00	fish corner
39	La Trastienda	Golosos de la trastienda	Pasteleria artesana con helado	5,9 €	pasteleria artesana con helado	golosos de la trastienda
40	La Trastienda	seccion_bebidas	Botella de champán	10 €	botella de champán	seccion_bebidas
41	La Trastienda	seccion_bebidas	Copa de champán	4,5 €	copa de champán	seccion_bebidas
42	La Trastienda	seccion_bebidas	Café	1,6 €	café	seccion_bebidas
43	La Trastienda	seccion_bebidas	Media botella de agua	2,4 €	media botella de agua	seccion_bebidas
44	La Trastienda	seccion_bebidas	Botella de vino	15 €	botella de vino	seccion_bebidas
45	La Trastienda	seccion_bebidas	Copa de vino	2,95 €	copa de vino	seccion_bebidas
0	le cocó	MENU	Soup of the day	5,5 €	soup of the day	menu
1	le cocó	MENU	Antipasti	7 €	antipasti	menu
2	le cocó	MENU	Smoked tuna	7,5 €	smoked tuna	menu
3	le cocó	MENU	King prawns taco	7,5 €	king prawns taco	menu
4	le cocó	MENU	Braised Irish beef cheek	7,5 €	braised irish beef cheek	menu
5	le cocó	MENU	Crunchy pork belly roll	7,5 €	crunchy pork belly roll	menu
6	le cocó	MENU	Pizza	9,5 €	pizza	menu
7	le cocó	MENU	100\% smoked beef burger	8,5 €	100\% smoked beef burger	menu
8	le cocó	MENU	veggie/vegan burger	8 €	veggie/vegan burger	menu
9	le cocó	MENU	Kids nuggets	7,5 €	kids nuggets	menu
10	le cocó	MENU	Croquettes	6 €	croquettes	menu
11	le cocó	MENU	Duck carpaccio	7 €	duck carpaccio	menu
12	le cocó	MENU	Grilled goat cheese	6 €	grilled goat cheese	menu
13	le cocó	MENU	Scandinavian bruschetta	7,5 €	scandinavian bruschetta	menu
14	le cocó	MENU	Truffle arancini	7 €	truffle arancini	menu
15	le cocó	MENU	Pumpkin gnocchi	6,5 €	pumpkin gnocchi	menu
16	le cocó	MENU	Coconut rice	6,5 €	coconut rice	menu
17	le cocó	MENU	Vegan coconut rice	6 €	vegan coconut rice	menu
0	Mal de Amores	Para empezar	Chipirones macerados a la plancha acompañado con mahonesa de albahaca	11,5 €	chipirones macerados a la plancha acompañado con mahonesa de albahaca	para empezar
1	Mal de Amores	Para empezar	Burrata con mermelada casera de tomate y naranja agria	12 €	burrata con mermelada casera de tomate y naranja agria	para empezar
2	Mal de Amores	Para empezar	Carpaccio de pulpo con toques cítricos acompañado de rúcula	12,5 €	carpaccio de pulpo con toques cítricos acompañado de rúcula	para empezar
3	Mal de Amores	Para empezar	Verduras plancha de temporada	8,5 €	verduras plancha de temporada	para empezar
4	Mal de Amores	Para empezar	Carpaccio de buey con aceite de albahaca y láminas de parmesano	12 €	carpaccio de buey con aceite de albahaca y láminas de parmesano	para empezar
5	Mal de Amores	Sugerencia maldeamores	Albóndigas de sepia con dos salsas	9,5 €	albóndigas de sepia con dos salsas	sugerencia maldeamores
6	Mal de Amores	Sugerencia maldeamores	Cecina del bierzo con crujiente de cebolla	11,5 €	cecina del bierzo con crujiente de cebolla	sugerencia maldeamores
7	Mal de Amores	Sugerencia maldeamores	Tabla de quesos con frutos secos	9,5 €	tabla de quesos con frutos secos	sugerencia maldeamores
8	Mal de Amores	Sugerencia maldeamores	Saquitos de morcilla con piñones y reineta	9 €	saquitos de morcilla con piñones y reineta	sugerencia maldeamores
9	Mal de Amores	Sugerencia maldeamores	Croquetas mar y tierra elaboradas con jamón ibérico y bacalao	8,5 €	croquetas mar y tierra elaboradas con jamón ibérico y bacalao	sugerencia maldeamores
10	Mal de Amores	Sugerencia maldeamores	Berenjenas rebozadas con miel de caña o salmorejo	8,5 €	berenjenas rebozadas con miel de caña o salmorejo	sugerencia maldeamores
11	Mal de Amores	Especiallidad maldeamores	Ceviche de corvina	11,5 €	ceviche de corvina	especiallidad maldeamores
12	Mal de Amores	Ensaladas	Rulo de cabra con nueces, mahonesa de miel y mostaza	11,5 €	rulo de cabra con nueces, mahonesa de miel y mostaza	ensaladas
13	Mal de Amores	Ensaladas	Ensalada de gambas con espinacas y tomate deshidratado	12,5 €	ensalada de gambas con espinacas y tomate deshidratado	ensaladas
14	Mal de Amores	Ensaladas	Ensalada de pollo con vinagreta de frutos rojos y cítricos con grissini de aceite de romero	11 €	ensalada de pollo con vinagreta de frutos rojos y cítricos con grissini de aceite de romero	ensaladas
15	Mal de Amores	Arroces	Arroz caldoso con pulpo y cola de langostinos	15,5 €	arroz caldoso con pulpo y cola de langostinos	arroces
16	Mal de Amores	Arroces	Arroz con secreto y verduras	12,5 €	arroz con secreto y verduras	arroces
17	Mal de Amores	Carnes	Solomillo de ternera acompañado con mermelada de higos	17,5 €	solomillo de ternera acompañado con mermelada de higos	carnes
18	Mal de Amores	Carnes	Pluma de ibérico a la plancha con papa y mojo	13,5 €	pluma de ibérico a la plancha con papa y mojo	carnes
19	Mal de Amores	Carnes	Carrillada de ternera estofada sobre crema de puerros	12,5 €	carrillada de ternera estofada sobre crema de puerros	carnes
20	Mal de Amores	Carnes	Hamburguesa la flaca	11,5 €	hamburguesa la flaca	carnes
21	Mal de Amores	Carnes	Hamburguesa la nena	10,5 €	hamburguesa la nena	carnes
22	Mal de Amores	Pescados	Bacalao confitado sobre pipirrada	14 €	bacalao confitado sobre pipirrada	pescados
23	Mal de Amores	Pescados	Pez mantequilla al estilo maldeamores	16,5 €	pez mantequilla al estilo maldeamores	pescados
24	Mal de Amores	Postres	Tarta de zanahoria	6,5 €	tarta de zanahoria	postres
25	Mal de Amores	Postres	Crema mascarpone con mermelada de fresa	6 €	crema mascarpone con mermelada de fresa	postres
26	Mal de Amores	Postres	Coulant de chocolate con helado de vainilla	6 €	coulant de chocolate con helado de vainilla	postres
27	Mal de Amores	Postres	Canutillos de hojaldre rellenos de crema pastelera	6 €	canutillos de hojaldre rellenos de crema pastelera	postres
28	Mal de Amores	Postres	Flan de queso con arándanos	5 €	flan de queso con arándanos	postres
29	Mal de Amores	Helados	Chicle	5,5 €	chicle	helados
30	Mal de Amores	Helados	Violeta	5,5 €	violeta	helados
31	Mal de Amores	seccion_bebidas	Botella de champán	38 €	botella de champán	seccion_bebidas
32	Mal de Amores	seccion_bebidas	Café	1,5 €	café	seccion_bebidas
33	Mal de Amores	seccion_bebidas	Media botella de agua	2,5 €	media botella de agua	seccion_bebidas
34	Mal de Amores	seccion_bebidas	Botella de vino	12,5 €	botella de vino	seccion_bebidas
35	Mal de Amores	seccion_bebidas	Copa de vino	2,5 €	copa de vino	seccion_bebidas
0	Morgana	PETISCOS	TOMATES MARINADOS IIIª PARTE	10,5 €	tomates marinados iiiª parte	petiscos
1	Morgana	PETISCOS	TOSTA DE SARDINA AHUMADA	12 €	tosta de sardina ahumada	petiscos
2	Morgana	PETISCOS	VIEIRA MEX	14 €	vieira mex	petiscos
3	Morgana	PETISCOS	CROQUETAS CASERAS	9 €	croquetas caseras	petiscos
4	Morgana	GALICIA EN 3 PLATOS	EMPANADA artesana del día	8 €	empanada artesana del día	galicia en 3 platos
5	Morgana	GALICIA EN 3 PLATOS	TORTILLA	9 €	tortilla	galicia en 3 platos
6	Morgana	GALICIA EN 3 PLATOS	FILLOA DE COCIDO y emulsión de grel	12 €	filloa de cocido y emulsión de grel	galicia en 3 platos
7	Morgana	LONJA CORUÑESA	MERLUZA DEL PINCHO a baja temperatura	19 €	merluza del pincho a baja temperatura	lonja coruñesa
8	Morgana	LONJA CORUÑESA	PULPO A LA PLANCHA	20 €	pulpo a la plancha	lonja coruñesa
9	Morgana	LONJA CORUÑESA	MEJILLÓN TOM KHA GA	16 €	mejillón tom kha ga	lonja coruñesa
10	Morgana	GRANJA GALEGA	RABO DE VACA DESMECHADA	17,5 €	rabo de vaca desmechada	granja galega
11	Morgana	GRANJA GALEGA	CROCA ROXA D’OURO	19 €	croca roxa d’ouro	granja galega
12	Morgana	GRANJA GALEGA	PICANHA RUBIA GALLEGA (45 días maduración)	17,5 €	picanha rubia gallega (45 días maduración)	granja galega
